IG,INTGEONAME
S02000994,Johnstone North West
S02000995,Paisley West
S02000996,Kilbarchan
S02000997,Paisley East
S02000998,Johnstone North East
S02000999,Elderslie and Phoenix
S02001000,Paisley Central
S02001001,Paisley North West
S02001002,Paisley Ralston
S02001003,Paisley Ferguslie
S02001004,Paisley North East
S02001005,Linwood South
S02001006,Linwood North
S02001007,Paisley Gallowhill and Hillington
S02001008,Bridge of Weir
S02001009,Houston South
S02001010,Paisley North
S02001011,Renfrew South
S02001012,Houston North
S02001013,Renfrew East
S02001014,Renfrew West
S02001015,Renfrewshire Rural North and Langbank
S02001016,Renfrew North
S02001017,Erskine East and Inchinnan
S02001018,Erskine Central
S02001019,Erskine West
S02001020,Bishopton
S02001146,Fernhill and Cathkin
S02001148,Whitlawburn and Greenlees
S02001149,Vicarland and Cairns
S02001150,Burnside and Springhall
S02001152,Spittal
S02001153,Cambuslang Central
S02001154,High Crosshill
S02001156,"Halfway, Hallside and Drumsagard"
S02001157,Westburn and Newton
S02001158,Bankhead South
S02001159,"Burgh, Eastfield and Silverbank"
S02001160,Burnhill and Bankhead North
S02001161,Shawfield and Clincarthill
S02001162,Farme Cross and Gallowflat North
S02001184,IZ One
S02001185,IZ Two
S02001186,IZ Three
S02001187,IZ Four
S02001188,IZ Five
S02001189,IZ Six
S02001190,IZ Seven
S02001191,IZ Eight
S02001192,IZ Nine
S02001193,IZ Ten
S02001194,IZ Eleven
S02001195,IZ Twelve
S02001196,IZ Thirteen
S02001197,IZ Fourteen
S02001198,IZ Fifteen
S02001199,IZ Sixteen
S02001200,IZ Seventeen
S02001201,IZ Eighteen
